table,survey,geography_id,geography_name,geography_type_id,date,apartment
1.2.2,Scss,5915004,Surrey (CY),4,2001-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2001-07-01,92
1.2.2,Scss,5915004,Surrey (CY),4,2001-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2001-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2001-10-01,2
1.2.2,Scss,5915004,Surrey (CY),4,2001-11-01,31
1.2.2,Scss,5915004,Surrey (CY),4,2001-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-04-01,50
1.2.2,Scss,5915004,Surrey (CY),4,2002-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2002-12-01,41
1.2.2,Scss,5915004,Surrey (CY),4,2003-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-08-01,67
1.2.2,Scss,5915004,Surrey (CY),4,2003-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2003-10-01,38
1.2.2,Scss,5915004,Surrey (CY),4,2003-11-01,46
1.2.2,Scss,5915004,Surrey (CY),4,2003-12-01,117
1.2.2,Scss,5915004,Surrey (CY),4,2004-01-01,39
1.2.2,Scss,5915004,Surrey (CY),4,2004-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-04-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-07-01,52
1.2.2,Scss,5915004,Surrey (CY),4,2004-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-11-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2004-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2005-01-01,35
1.2.2,Scss,5915004,Surrey (CY),4,2005-02-01,55
1.2.2,Scss,5915004,Surrey (CY),4,2005-03-01,2
1.2.2,Scss,5915004,Surrey (CY),4,2005-04-01,107
1.2.2,Scss,5915004,Surrey (CY),4,2005-05-01,52
1.2.2,Scss,5915004,Surrey (CY),4,2005-06-01,4
1.2.2,Scss,5915004,Surrey (CY),4,2005-07-01,58
1.2.2,Scss,5915004,Surrey (CY),4,2005-08-01,4
1.2.2,Scss,5915004,Surrey (CY),4,2005-09-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2005-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2005-11-01,46
1.2.2,Scss,5915004,Surrey (CY),4,2005-12-01,56
1.2.2,Scss,5915004,Surrey (CY),4,2006-01-01,43
1.2.2,Scss,5915004,Surrey (CY),4,2006-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2006-03-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2006-04-01,123
1.2.2,Scss,5915004,Surrey (CY),4,2006-05-01,48
1.2.2,Scss,5915004,Surrey (CY),4,2006-06-01,27
1.2.2,Scss,5915004,Surrey (CY),4,2006-07-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2006-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2006-09-01,202
1.2.2,Scss,5915004,Surrey (CY),4,2006-10-01,72
1.2.2,Scss,5915004,Surrey (CY),4,2006-11-01,4
1.2.2,Scss,5915004,Surrey (CY),4,2006-12-01,129
1.2.2,Scss,5915004,Surrey (CY),4,2007-01-01,6
1.2.2,Scss,5915004,Surrey (CY),4,2007-02-01,36
1.2.2,Scss,5915004,Surrey (CY),4,2007-03-01,156
1.2.2,Scss,5915004,Surrey (CY),4,2007-04-01,68
1.2.2,Scss,5915004,Surrey (CY),4,2007-05-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2007-06-01,2
1.2.2,Scss,5915004,Surrey (CY),4,2007-07-01,36
1.2.2,Scss,5915004,Surrey (CY),4,2007-08-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2007-09-01,2
1.2.2,Scss,5915004,Surrey (CY),4,2007-10-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2007-11-01,30
1.2.2,Scss,5915004,Surrey (CY),4,2007-12-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2008-01-01,75
1.2.2,Scss,5915004,Surrey (CY),4,2008-02-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2008-03-01,24
1.2.2,Scss,5915004,Surrey (CY),4,2008-04-01,131
1.2.2,Scss,5915004,Surrey (CY),4,2008-05-01,452
1.2.2,Scss,5915004,Surrey (CY),4,2008-06-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2008-07-01,112
1.2.2,Scss,5915004,Surrey (CY),4,2008-08-01,62
1.2.2,Scss,5915004,Surrey (CY),4,2008-09-01,150
1.2.2,Scss,5915004,Surrey (CY),4,2008-10-01,124
1.2.2,Scss,5915004,Surrey (CY),4,2008-11-01,127
1.2.2,Scss,5915004,Surrey (CY),4,2008-12-01,244
1.2.2,Scss,5915004,Surrey (CY),4,2009-01-01,0
1.2.2,Scss,5915004,Surrey (CY),4,2009-02-01,2
1.2.2,Scss,5915004,Surrey (CY),4,2009-03-01,184
1.2.2,Scss,5915004,Surrey (CY),4,2009-04-01,176
1.2.2,Scss,5915004,Surrey (CY),4,2009-05-01,107
1.2.2,Scss,5915004,Surrey (CY),4,2009-06-01,200
